Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Software Architecture: Patterns for Developers (2020),"As a developer, you're ultimately building software to solve problems for your users. But a successful application also needs to be easy for you and other developers to work with. Enter software architecture patterns. These trusted solutions allow you to translate complex architectural problems to recognizable patterns. In this course, instructor Peter Morlion covers a variety of software architecture patterns, showing you how to apply the correct architecture to new systems and recognize patterns in existing systems. Peter goes over application landscape patterns such as microservices. He also covers application structure patterns like event sourcing, as well as UI patterns like model-view-controller (MVC). Along the way, he shares pros and cons that help you determine which patterns to use.",Course,2021-09-21 15:55 UTC,N/A,false,N/A,
Software Architecture: Breaking a Monolith into Microservices,"<p>Microservices are the increasingly popular software architecture choices when creating a new application, but what about existing applications? Does it make sense to split them up into microservices? And how would you go about breaking up monolithic applications? In this course, Daniel Khan covers effective approaches for adopting microservices, taking a high-level look at the fundamentals without getting into programming languages, container runtimes, Kubernetes, or other technical minutiae. Instead, he takes a holistic approach to give you a general understanding of the technical and organizational challenges you need to address in order to successfully re-architect your existing platforms to microservices.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/microservices-foundations-professional-certificate-by-kong"" target=""_blank"">Professional Certificate</a> from Kong.</p>",Course,2021-07-13 08:29 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (202-450): 2 Web Services,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, second in the series, focuses on web services. Learn how to install the Apache web server and configure virtual servers in Apache. Find out how to redirect URLs and enable SSL encryption in Apache. Go over what you need to know about installing the Squid proxy server, restricting server access with Squid, and enabling user authentication in Squid. Plus, explore how to implement Nginx as a web server or as a reverse proxy.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-04-14 09:58 UTC,N/A,false,N/A,
Microsoft Azure: Controlling Cost,"Learn how to minimize the costs associated with a move to a Microsoft Azure environment. Software architect and trainer Scott Duffy reviews typical Azure subscription costs and explores cost management options for Azure services including storage, compute, and networking. Learn about the factors driving costs and ways to analyze your spending using the built-in tools in Azure. Then explore practical strategies for reducing costs, such as improving system efficiency and introducing a storage life cycle. Plus, discover long-term proactive solutions for monitoring spending, such as alerts and diagnostics.",Course,2021-06-13 21:31 UTC,N/A,false,N/A,
Python: Design Patterns,"<p>Explore the world of Python design patterns and learn how to implement them to save time. Instructor Jungwoo Ryoo introduces 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct. Learn how to use these patterns to structure your code more efficiently and effectively. Discover the power of reusable solutions shared by the programming community and enhance your Python coding skills. Learn through practical examples and challenge yourself with code challenges. By the end of this course, you'll be able to leverage design patterns to streamline your projects and solve common programming problems with ease. Whether you are a professional developer, a computer science student, or a coding enthusiast, mastering these patterns will significantly benefit your programming and problem-solving abilities. </p>

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-19 21:29 UTC,N/A,false,N/A,
Advanced Python: Working With Data,"<p>Data science is one of the fastest-growing areas of technology today. And whether you work with large data sets or just need to process spread sheet files, Python is a great language to use when working with data-intensive applications. In this course, Joe Marini gets you started on working with data in Python, highlighting some of the most useful built-in features of the language. Using a real data set from the United States Geological Survey that tracks earthquake information, Joe shows you how to perform data operations like sorting and filtering, determining basic information like minimum and maximum values, and reading and writing data to and from other formats like CSV and JSON. Practice what you learn with hands-on challenges. Check out this course with Joe to see how Python can help you make sense of your data.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>",Course,2023-11-02 16:53 UTC,N/A,false,N/A,
Conducting a SWOT Analysis,"Your organization's landscape is constantly changing, as are markets, consumer preferences, and the economy in general. You may have solid plans in place, but when the unexpected strikes, you may be forced to pivot and re-evaluate your options. In this course, innovation and business strategy expert Jim Belfiore shows you how to use the incredibly simple yet powerful SWOT (strengths, weaknesses, opportunities, threats) methodology to evaluate your company’s footing and develop a strategic business plan. Jim shares how to leverage strengths, convert weaknesses, use opportunities, and neutralize threats to bolster your business. In addition, he explains how to use SWOT analysis for personal and organizational growth and drive positive change in yourself and your organization. 


<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-01-22 17:04 UTC,N/A,false,N/A,
.NET 6 SDK Advanced Exploration: Attributes,"Attributes add metadata to your programs and allow you to annotate given types, assemblies, modules, and methods. They’re especially handy if you’re an advanced .NET developer, as they lend your code base more declarative power with the additional services of .NET tools and code libraries. In this course, senior LinkedIn Learning instructor Walt Ritscher shows you how to use predefined, standard .NET attributes as well as how to create custom attributes on your own.<br><br>Learn about the features of attributes, how they function, and why they’re such a vital part of .NET programs. Get quick tips and user tricks on annotating your code like a seasoned pro, from testing for object quality to marking your testing methods. Along the way, Walt teaches you how to create custom attributes that meet the specific needs of your projects, such as attributes for the JSON serializer, PropertyGrid and the category attribute, the BindProperty attribute, and more.",Course,2023-11-03 16:47 UTC,N/A,false,N/A,
Practice It: Advanced SQL,"<p>Are you looking to broaden your SQL abilities while gaining practical experience? Want to master advanced SQL querying techniques beyond the basics? In this course, data scientist and data career coach Kedeisha Bryan teaches advanced SQL concepts through walkthrough exercises and real-world applications. Kedeisha shows you how to think in SQL code and not just memorize syntax. Learn advanced topics such as window functions, CTEs, subqueries, date time manipulation, and more.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-12-21 12:24 UTC,N/A,false,N/A,
The Datapreneurs: How People Are Shaping the Future of AI (Book Bite),"<p>The rise of artificial intelligence isn’t some recent tech fad, but rather a result of decades of research and investment. It’s the foundation of what may soon be an AI general intelligence. In this audiobook summary, Bob Muglia and Steven Hamm share five key insights from their book <i>The Datapreneurs: The Promise of AI and the Creators Building Our Future</i>. Listen as Bob and Steve discuss the arc of data innovation, how people and data are the most important business assets, the importance of values, and how machine learning and AI are changing the models we use in business and our everyday lives. Plus, Bob and Steve look at the many correct predictions made by Isaac Asimov.
</p><p>Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2024-02-19 21:14 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton (2022),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with over one million social media followers—as she shares tips and answers to common questions about Microsoft Excel. Topics include removing and rearranging data using the PivotTable, creating custom number formats, scanning data from paper documents into Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-12-30 21:06 UTC,N/A,false,N/A,
Building a Cloud Architecture Diagram,"<p>If you want to develop an effective cloud strategy, you need to build it in full awareness of numerous systems, applications, and teams. An architectural diagram can help on this front by providing the visual structure for demonstrating the strategy and relationship between each of the parts. In this course, instructor Mark Wilkins outlines the various types of diagrams and highlights the best use case of each.</p><p>Explore the available tools and models for successful planning by evaluating practical, real-world scenarios. Along the way, get tips from Mark on choosing the cloud architecture diagram model that’s best for meeting your overall business needs. By the end of this course, you’ll be prepared to start creating mind maps and diagrams to present the visual relationship between your systems and applications.</p>",Course,2023-06-23 12:48 UTC,N/A,false,N/A,
"Advanced .NET: Commands, C# Enhancements, Web Apps, and Libraries","This course takes a deep look into the changes to .NET with the release of .NET 6, the latest release of the Microsoft cross-platform, open-source framework. Instructor Walt Ritscher takes you through changes to .NET commands, language improvements to C++ and C#, web applications like Blazor and Visual Studio, and targeting multiple platforms. He also shows you how to edit code and use the Hot Reload feature to apply changes without restarting the application.",Course,2023-10-06 00:53 UTC,N/A,false,N/A,
GPT-4 Foundations: Building AI-Powered Apps,"Are you looking for a practical, simple, visual introduction to creating an AI-powered application? This course was designed for you. While GPT-4 has piqued much of the world’s attention, few people have developed the skills required to build their own AI-powered tools. Join instructor Denys Linkov to find out more about how to get started building AI-powered applications using GPT-4. In this course, Denys offers a comprehensive overview of the OpenAI playground, including the basics of large language models and prompts. Get tips for beginner, intermediate, and advanced prompting to start creating a no-code chatbot on your own. Along the way, test out your new skills in the challenge exercises provided at the end of each section of the course.",Course,2023-09-14 14:26 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2022-07-30 10:15 UTC,N/A,false,N/A,
Introduction to Prompt Engineering for Generative AI (2023),"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,2023-12-20 19:31 UTC,N/A,false,N/A,
Learning Jira (Data Center Edition),"Jira is for task tracking, request tracking, and project management. As organizations continue to adopt digital technology, more and more teams are leveraging Jira to track work and help teams meet goals. Jira is already the industry standard for software development teams and increasingly, other teams, like marketing, legal, IT, and finance are adopting it as well. By learning Jira you’ll be able to easily manage your own daily tasks and help your organization plan their strategic initiatives. In this course, instructor Rachel Wright teaches you about navigating Jira, working with projects and issues, and creating filters, dashboards, and boards. Join Rachel to learn how to create and edit issues, estimate time and effort, create custom views, search for and find issues, and adjust preferences so Jira works best for you.",Course,2024-09-29 16:30 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,Course,2024-07-16 20:28 UTC,N/A,false,N/A,
Artificial Intelligence Case Studies in Different Business Industries,"<p>AI is rapidly becoming an increasingly important technology for every company in every industry. As a general purpose technology, similar to electricity or the internet, it has the power to completely change almost everything about the way we work. How will it affect your industry? Will it be the same for you as everyone else?</p><p>In this course, join instructors Anil Gupta and Haiyan Wang for in-depth exploration of case studies which track the application and impact of AI technology across a variety of industries around the world, including finance, agriculture, food engineering, pharmaceuticals, retail, healthcare, legal, data processing, energy, and more. Along the way, Anil and Haiyan inspire you to start thinking about how you and your colleagues can leverage the power of AI technology to transform your own organization and maybe even the entire industry.</p>",Course,2023-10-16 07:31 UTC,N/A,false,N/A,
Train Your Brain to Unwind Stress and Anxiety Habits,"<p>Are you feeling overwhelmed with work and life, but not sure how to respond? Stress and anxiety can be caused by all kinds of triggers that are often driven on a neurological level. In this course, join Judson Brewer MD PhD—psychiatrist, neuroscientist, <i>New York Times</i> best-selling author, and professor at Brown University—to learn how to identify why stress and anxiety can drive powerful habits and behaviors that make you feel even worse.</p><p>Gather insights on recognizing the neurological loop of anxiety, which can lead to increased thoughts and feelings of anxiety. Galvanize your energy to respond quickly and strategically to some of your most negative thoughts, feelings, and behaviors. Along the way, Dr. Brewer shows you how to start making more intentional decisions so that you can break free from cycles of stress and anxiety in both your professional and personal life.</p>",Course,2024-10-03 21:24 UTC,N/A,false,N/A,
Moving DEI from Intention to Impact with Ruchika Tulshyan,"You’ve probably encountered initiatives at your workplace focused on increasing inclusion. Some seem to work, some have no effect, and some even have a negative impact. What differentiates these efforts at creating inclusive environments? While they may all be created with good intentions, good intentions alone are not enough. In fact, as Ruchika Tulshyan illustrates in this course, good intentions without awareness can be the biggest barrier to creating a truly inclusive environment, because many of us believe intention alone is enough to make change. They’re not. Your intentions may be positive, but they may not be received positively. True impact requires much more effort than simply having good intentions, it takes learning and regular practice. Take this course to find out how.",Course,2022-10-10 16:57 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-04-06 11:27 UTC,N/A,false,N/A,
Treating Go as an Object-Oriented Language,"Did you know that treating Go like an object-oriented programming language can allow you to create more functional and more powerful behavior? Join instructor Frank P Moley III in this hands-on, interactive course to practice advancing your skills in Go, the popular, statically typed programming language. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Frank helps you boost your skills as a Go programmer with specific, coding challenges that treat Go like an object-oriented language. Practice creating and working with structs, synthesizing classes, and leveraging encapsulation, composition, and polymorphism, building object-oriented behavior as you go.",Course,2024-03-28 18:31 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-01-29 09:09 UTC,N/A,false,N/A,
Advanced Python: Build Hands-On Projects with Design Patterns (2023),"Looking to get up to speed with design patterns in Python? This course was made for you. Join instructor Jungwoo Ryoo in this hands-on, interactive, skills-first coding course designed uniquely for advanced-level Python developers. Discover strategic Python coding skills to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills as you go. Along the way, Jungwoo helps you develop your skills as a Python programmer with four specific, design-focused coding challenges to enhance your programming efficiency, consistency, completeness, and correctness by implementing patterns. Practice building complex objects with the Builder pattern, building a wrapper with the Adapter pattern, building a transaction with the Command pattern, and improving security with the intercepting validator.",Course,2024-03-12 15:17 UTC,N/A,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-07-21 16:08 UTC,N/A,false,N/A,
Python Practice: Real-World Coding Challenges,"Are you new to Python and looking for a bootcamp-style introduction? Or looking for extra practice coding in Python with project-based lessons? In this course, instructor Ryan Mitchell highlights what you need to know about the Python standard library, using a single project that you’ll build throughout the course. Each chapter focuses on a single Python topic—basic data types, control flow, functions, errors, and more—and provides a challenge and corresponding solution for each topic. If you’re somewhat new to Python, this course is designed to go hand-in-hand with the <i>Python Essential Training</i> course, so you can jump between both courses, or work in this course alone.",Course,2023-09-17 19:55 UTC,N/A,false,N/A,
Build AI Infrastructure with Google Cloud Platform (GCP),"In this course, Zarina Meeran—a Senior Cloud System Developer—gets you started on a journey to master Google Cloud Platform AI tools and infrastructure. This course is suited for developers, IT professionals, and anyone enthusiastic about leveraging cloud computing to enhance AI and ML development productivity. Begin with an introduction to GCP AI Infrastructure and the significance of managing infrastructure for AI applications. Explore the usage and benefits of Vertex AI and how it streamlines the machine learning (ML) lifecycle. Focus on notebooks, and learn how TensorFlow integrates into AI development. Grasp the computational requirements of machine learning algorithms, including when and how to upgrade to GPU or TPU for processing. Dive into image classification, deploying models, and setting up user-managed notebooks in Vertex AI Workbench. Whether you aim to innovate or optimize, this course equips you with the knowledge to confidently implement AI solutions in the cloud.",Course,2024-12-03 19:48 UTC,N/A,false,N/A,
"The Data Science of Healthcare, Medicine, and Public Health","Data analytics plays an increasingly pivotal role in how we go about managing our healthcare systems and personal health. This nontechnical course explores a variety of ways to apply data science to medicine and public health. Data scientist Barton Poulson discusses the ways that dramatically increased quantities of data—from genetic testing, genealogy, brain scans, and other sources—are changing the theory and practice of healthcare. As he looks over key data sources, Barton explores the different methods for analyzing this wealth of data, including machine learning and predictive modeling. He also details the extraordinary effect of the COVID-19 pandemic on the ways data is used in healthcare, and details how data science has changed the areas of patient care, self-care, and medical insurance. Barton also looks at some challenges the increased use of data presents, from ethical questions to logistical implementations, and how data science can help identify unanticipated problems.",Course,2023-12-28 20:10 UTC,N/A,false,N/A,
Test Automation with Python: 1 Introduction to Automated Testing,"The <i>Test Automation with Python</i> series from Headspin University is designed to teach automation skills and tools for testing applications in Appium and Selenium, the world's most popular UI automation tools. But before getting into the automation itself, this first course delves into the concept of testing, from the etymology of the word, to how to design useful tests for your software. While using software as it is meant to be run seems like an obvious test, it’s also helpful and necessary to imagine conditions for the software that its developers might not have thought about. The history of automation is also covered, highlighting the fact that most software is in fact a form of automation. After this course, you’ll have a solid foundation of automated testing and be ready to move on to the next course in the series.
<br><br>
Note: This course was created by HeadSpin University. We are pleased to host this training in our library.",Course,2022-06-17 22:25 UTC,N/A,false,N/A,
Machine Learning Fundamentals for Healthcare,"<p>There’s an increased demand to integrate AI and machine learning workflows into many different business sectors. This is especially true in today’s unique and constantly evolving global healthcare landscape.</p><p>In this course, instructor Wuraola Oyewusi provides an overview of how AI and machine learning can optimize healthcare processes, data analysis, health outcomes, and more. Along the way, gather insights drawn from real-world examples to address complex privacy and ethical considerations in the industry. Wuraola also shows you how to utilize machine learning for tabular healthcare datasets using a Google Colab Notebook, including clinical records, classification, predictions, regression, clustering, and localization.</p>",Course,2024-08-19 17:27 UTC,N/A,false,N/A,
Data Management with Apache NiFi,"<p>Apache NiFi is designed to automate the flow of data between software systems. If you are a data management professional, this course can give you the understanding you need to get started with this powerful tool. Janani Ravi guides you through getting started with Apache NiFi. Learn about core concepts and architecture, as well as how to download, start, and log into Apache NiFi on both macOS and Windows. Find out how to build and run data flows and how to integrate NiFi with PostgreSQL. Explore ways to configure and use NiFi processors and processing groups and integrate NiFi with Amazon S3. Plus, discover advanced features of NiFi dataflows like configuring back pressure, using a funnel in the dataflow, setting up monitoring and configuring alerts for a dataflow, and much more.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2024-10-20 16:15 UTC,N/A,false,N/A,
Python for Engineers and Scientists,"This course offers scientists and engineers (ranging from students of those disciplines to experienced professionals) a dedicated, empowering introduction to Python for scientific and engineering applications. Theoretical astrophysicist and Python enthusiast Michele Vallisneri explains how Python can help you become a better engineer or physicist by making your work more efficient, accurate, and agile. Michele walks you through installing Python for macOS, Windows, and Linux, as well as setting up Jupyter notebooks. He explains how you can make Python fast using NumPy arrays, the SciPy library, Numba, and Cython. Michele then tackles ways to ensure your code is correct with tools for symbolic computation, differential equations, interpolation, and more. He finishes up with ideas to make your computational life easier with Python, including JSON, pandas, HDF5, automation with Python scripts, and scientific workflows with Snakemake.",Course,2022-11-10 13:09 UTC,N/A,false,N/A,
C++ Game Programming 1,"Get a fun introduction to the world of game programming with C++. This course teaches the basics of game development with C++ and the OpenGL-powered Simple and Fast Multimedia Library (SFML), using three fully playable sample games: an addictive two-button tapper, a multilevel zombie survival shooter, and a split-screen multiplayer puzzle. Instructor John Horton starts with the very basics of programming, including variables, loops, and conditions. Become more skillful with each game as you move through the key C++ topics, such as object-oriented programming, C++ pointers, and the Standard Template Library. While building these games, you can also learn exciting game programming concepts like collision detection, sprite sheets, views, the HUD (heads-up display), and more.<br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2019-12-17 17:04 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2024-08-08 21:04 UTC,N/A,false,N/A,
